ra,dec,prob
177.45,-38.379999999999995,1.9809886567771753e-08
177.95632911392403,-38.379999999999995,2.7747293562971476e-08
178.4626582278481,-38.379999999999995,3.853070863294002e-08
178.96898734177213,-38.379999999999995,5.304458926445116e-08
179.4753164556962,-38.379999999999995,7.23973904905881e-08
179.98164556962024,-38.379999999999995,9.796083122376134e-08
180.48797468354428,-38.379999999999995,1.3141040012420812e-07
180.99430379746835,-38.379999999999995,1.7476511251521592e-07
181.5006329113924,-38.379999999999995,2.304238726342959e-07
182.00696202531645,-38.379999999999995,3.0119511851778954e-07
182.5132911392405,-38.379999999999995,3.9031578368009987e-07
183.01962025316453,-38.379999999999995,5.01455068907577e-07
183.5259493670886,-38.379999999999995,6.38698159709791e-07
184.03227848101264,-38.379999999999995,8.065049386111062e-07
184.5386075949367,-38.379999999999995,1.0096390153278267e-06
185.04493670886075,-38.379999999999995,1.2530631118636617e-06
185.55126582278479,-38.379999999999995,1.5417980536115337e-06
186.05759493670885,-38.379999999999995,1.8807443597790038e-06
186.5639240506329,-38.379999999999995,2.2744676817087548e-06
187.07025316455696,-38.379999999999995,2.726952038091977e-06
187.576582278481,-38.379999999999995,3.2413278153325883e-06
188.08291139240504,-38.379999999999995,3.8195846540676265e-06
188.5892405063291,-38.379999999999995,4.462282390746688e-06
189.09556962025314,-38.379999999999995,5.1682758882122215e-06
189.6018987341772,-38.379999999999995,5.934471574216315e-06
190.10822784810125,-38.379999999999995,6.755634522093399e-06
190.61455696202532,-38.379999999999995,7.624264702084712e-06
191.12088607594936,-38.379999999999995,8.530559424181966e-06
191.6272151898734,-38.379999999999995,9.462475902998357e-06
192.13354430379746,-38.379999999999995,1.0405903344610213e-05
192.6398734177215,-38.379999999999995,1.1344948163735499e-05
193.14620253164557,-38.379999999999995,1.2262329203103458e-05
193.6525316455696,-38.379999999999995,1.3139872583868573e-05
194.15886075949365,-38.379999999999995,1.3959088597825036e-05
194.66518987341772,-38.379999999999995,1.4701806440720973e-05
195.17151898734176,-38.379999999999995,1.5350837161106033e-05
195.67784810126582,-38.379999999999995,1.5890631482362588e-05
196.18417721518986,-38.379999999999995,1.630789755493778e-05
196.69050632911393,-38.379999999999995,1.6592144459013202e-05
197.19683544303797,-38.379999999999995,1.6736120459248435e-05
197.703164556962,-38.379999999999995,1.6736120459248435e-05
198.20949367088608,-38.379999999999995,1.659214445901319e-05
198.71582278481011,-38.379999999999995,1.630789755493778e-05
199.22215189873418,-38.379999999999995,1.589063148236256e-05
199.72848101265822,-38.379999999999995,1.5350837161106033e-05
200.23481012658226,-38.379999999999995,1.4701806440720973e-05
200.74113924050633,-38.379999999999995,1.3959088597825036e-05
201.24746835443037,-38.379999999999995,1.3139872583868573e-05
201.75379746835443,-38.379999999999995,1.2262329203103402e-05
202.26012658227847,-38.379999999999995,1.1344948163735499e-05
202.7664556962025,-38.379999999999995,1.0405903344610213e-05
203.27278481012658,-38.379999999999995,9.462475902998357e-06
203.77911392405062,-38.379999999999995,8.530559424181966e-06
204.2854430379747,-38.379999999999995,7.624264702084672e-06
204.79177215189873,-38.379999999999995,6.755634522093399e-06
205.29810126582277,-38.379999999999995,5.934471574216315e-06
205.80443037974683,-38.379999999999995,5.1682758882122215e-06
206.31075949367087,-38.379999999999995,4.462282390746688e-06
206.81708860759494,-38.379999999999995,3.8195846540676265e-06
207.32341772151898,-38.379999999999995,3.2413278153325883e-06
207.82974683544302,-38.379999999999995,2.726952038091977e-06
208.33607594936709,-38.379999999999995,2.2744676817087548e-06
208.84240506329112,-38.379999999999995,1.8807443597790038e-06
209.3487341772152,-38.379999999999995,1.5417980536115337e-06
209.85506329113923,-38.379999999999995,1.2530631118636617e-06
210.36139240506327,-38.379999999999995,1.0096390153278267e-06
210.86772151898734,-38.379999999999995,8.065049386111062e-07
211.37405063291138,-38.379999999999995,6.38698159709791e-07
211.88037974683544,-38.379999999999995,5.01455068907577e-07
212.38670886075948,-38.379999999999995,3.9031578368009987e-07
212.89303797468352,-38.379999999999995,3.0119511851778954e-07
213.3993670886076,-38.379999999999995,2.304238726342959e-07
213.90569620253163,-38.379999999999995,1.7476511251521592e-07
214.4120253164557,-38.379999999999995,1.3141040012420812e-07
214.91835443037974,-38.379999999999995,9.796083122376134e-08
215.42468354430378,-38.379999999999995,7.23973904905881e-08
215.93101265822784,-38.379999999999995,5.304458926445116e-08
216.43734177215188,-38.379999999999995,3.853070863294002e-08
216.94367088607595,-38.379999999999995,2.7747293562971476e-08
217.45,-38.379999999999995,1.9809886567771753e-08
177.45,-37.87152542372881,2.6738245402304836e-08
177.95632911392403,-37.87152542372881,3.745170079588068e-08
178.4626582278481,-37.87152542372881,5.200653418320594e-08
178.96898734177213,-37.87152542372881,7.159653540494223e-08
179.4753164556962,-37.87152542372881,9.771783330516925e-08
179.98164556962024,-37.87152542372881,1.322218951690502e-07
180.48797468354428,-37.87152542372881,1.773701992141882e-07
180.99430379746835,-37.87152542372881,2.3588789618793239e-07
181.5006329113924,-37.87152542372881,3.1101288904241573e-07
182.00696202531645,-37.87152542372881,4.065358458945891e-07
182.5132911392405,-37.87152542372881,5.268257934101493e-07
183.01962025316453,-37.87152542372881,6.768352077539745e-07
183.5259493670886,-37.87152542372881,8.620780373424328e-07
184.03227848101264,-37.87152542372881,1.0885739750694668e-06
184.5386075949367,-37.87152542372881,1.3627526673219789e-06
185.04493670886075,-37.87152542372881,1.691312510799248e-06
185.55126582278479,-37.87152542372881,2.0810303268131306e-06
186.05759493670885,-37.87152542372881,2.5385205543066443e-06
186.5639240506329,-37.87152542372881,3.0699456468407533e-06
187.07025316455696,-37.87152542372881,3.680683003679609e-06
187.576582278481,-37.87152542372881,4.374957840327895e-06
188.08291139240504,-37.87152542372881,5.155455659271111e-06
188.5892405063291,-37.87152542372881,6.022932095546519e-06
189.09556962025314,-37.87152542372881,6.975841508888416e-06
189.6018987341772,-37.87152542372881,8.01000837342231e-06
190.10822784810125,-37.87152542372881,9.118366886253882e-06
190.61455696202532,-37.87152542372881,1.029079393862487e-05
191.12088607594936,-37.87152542372881,1.1514058423423765e-05
191.6272151898734,-37.87152542372881,1.2771905681650004e-05
192.13354430379746,-37.87152542372881,1.404528977533408e-05
192.6398734177215,-37.87152542372881,1.531275845727913e-05
193.14620253164557,-37.87152542372881,1.655098661543265e-05
193.6525316455696,-37.87152542372881,1.7735444193510806e-05
194.15886075949365,-37.87152542372881,1.884117484692614e-05
194.66518987341772,-37.87152542372881,1.9843652669304496e-05
195.17151898734176,-37.87152542372881,2.071967700270592e-05
195.67784810126582,-37.87152542372881,2.1448260327963788e-05
196.18417721518986,-37.87152542372881,2.2011462071113736e-05
196.69050632911393,-37.87152542372881,2.2395122192034284e-05
197.19683544303797,-37.87152542372881,2.2589452715490956e-05
197.703164556962,-37.87152542372881,2.2589452715490956e-05
198.20949367088608,-37.87152542372881,2.2395122192034263e-05
198.71582278481011,-37.87152542372881,2.2011462071113736e-05
199.22215189873418,-37.87152542372881,2.144826032796375e-05
199.72848101265822,-37.87152542372881,2.071967700270592e-05
200.23481012658226,-37.87152542372881,1.9843652669304496e-05
200.74113924050633,-37.87152542372881,1.884117484692614e-05
201.24746835443037,-37.87152542372881,1.7735444193510806e-05
201.75379746835443,-37.87152542372881,1.6550986615432563e-05
202.26012658227847,-37.87152542372881,1.531275845727913e-05
202.7664556962025,-37.87152542372881,1.404528977533408e-05
203.27278481012658,-37.87152542372881,1.2771905681650004e-05
203.77911392405062,-37.87152542372881,1.1514058423423765e-05
204.2854430379747,-37.87152542372881,1.0290793938624806e-05
204.79177215189873,-37.87152542372881,9.118366886253882e-06
205.29810126582277,-37.87152542372881,8.01000837342231e-06
205.80443037974683,-37.87152542372881,6.975841508888416e-06
206.31075949367087,-37.87152542372881,6.022932095546519e-06
206.81708860759494,-37.87152542372881,5.155455659271111e-06
207.32341772151898,-37.87152542372881,4.374957840327895e-06
207.82974683544302,-37.87152542372881,3.680683003679609e-06
208.33607594936709,-37.87152542372881,3.0699456468407533e-06
208.84240506329112,-37.87152542372881,2.5385205543066443e-06
209.3487341772152,-37.87152542372881,2.0810303268131306e-06
209.85506329113923,-37.87152542372881,1.691312510799248e-06
210.36139240506327,-37.87152542372881,1.3627526673219789e-06
210.86772151898734,-37.87152542372881,1.0885739750694668e-06
211.37405063291138,-37.87152542372881,8.620780373424328e-07
211.88037974683544,-37.87152542372881,6.768352077539745e-07
212.38670886075948,-37.87152542372881,5.268257934101493e-07
212.89303797468352,-37.87152542372881,4.065358458945891e-07
213.3993670886076,-37.87152542372881,3.1101288904241573e-07
213.90569620253163,-37.87152542372881,2.3588789618793239e-07
214.4120253164557,-37.87152542372881,1.773701992141882e-07
214.91835443037974,-37.87152542372881,1.322218951690502e-07
215.42468354430378,-37.87152542372881,9.771783330516925e-08
215.93101265822784,-37.87152542372881,7.159653540494223e-08
216.43734177215188,-37.87152542372881,5.200653418320594e-08
216.94367088607595,-37.87152542372881,3.745170079588068e-08
217.45,-37.87152542372881,2.6738245402304836e-08
177.45,-37.36305084745762,3.571843402043279e-08
177.95632911392403,-37.36305084745762,5.00300630689606e-08
178.4626582278481,-37.36305084745762,6.947321830227872e-08
178.96898734177213,-37.36305084745762,9.564263052700415e-08
179.4753164556962,-37.36305084745762,1.3053691179113335e-07
179.98164556962024,-37.36305084745762,1.7662935497798993e-07
180.48797468354428,-37.36305084745762,2.3694096835826372e-07
180.99430379746835,-37.36305084745762,3.151121597336032e-07
181.5006329113924,-37.36305084745762,4.154682997938273e-07
182.00696202531645,-37.36305084745762,5.430731736524123e-07
182.5132911392405,-37.36305084745762,7.037631699109376e-07
183.01962025316453,-37.36305084745762,9.041540814335689e-07
183.5259493670886,-37.36305084745762,1.1516117469183514e-06
184.03227848101264,-37.36305084745762,1.45417760664009e-06
184.5386075949367,-37.36305084745762,1.8204407395300953e-06
185.04493670886075,-37.36305084745762,2.259349236121082e-06
185.55126582278479,-37.36305084745762,2.7799559509012216e-06
186.05759493670885,-37.36305084745762,3.391096818966978e-06
186.5639240506329,-37.36305084745762,4.101003988225206e-06
187.07025316455696,-37.36305084745762,4.916860887428543e-06
187.576582278481,-37.36305084745762,5.844311794238263e-06
188.08291139240504,-37.36305084745762,6.8869441521046485e-06
188.5892405063291,-37.36305084745762,8.04576738030018e-06
189.09556962025314,-37.36305084745762,9.318716726668583e-06
189.6018987341772,-37.36305084745762,1.0700214291717779e-05
