r_Mpc_h,xi,xi_modelo
33.095238095238095,1.6850873976617187,1.424065690633858
39.285714285714285,1.010931049677594,1.3081076598793473
45.476190476190474,0.9907183084746267,1.2176940478786384
51.666666666666664,1.0083681863898029,1.1456270042688796
57.857142857142854,1.0377364778684985,1.087848460043614
64.04761904761904,1.0276800387020328,1.042113000976274
70.23809523809524,1.0329650058839004,1.0072673473276723
76.42857142857143,1.027220013361398,0.9827632842005957
82.61904761904762,1.0421164926953357,0.9682479439520201
88.80952380952381,1.0243708018352404,0.9631798194078518
95.0,1.0241400602399755,0.9664839323956875
101.1904761904762,1.021590812861304,0.9763018619029339
107.38095238095238,1.018247618048833,0.98990890663904
113.57142857142858,1.0190170399672904,1.0038550832489783
119.76190476190476,1.0185075021784866,1.014339222316215
125.95238095238095,1.0247474100178313,1.0177585196602017
132.14285714285714,1.0148149624384022,1.0113128510198617
138.33333333333334,1.0163982010326276,0.993510188223878
144.52380952380952,1.0196488793469685,0.9644341103451217
150.71428571428572,1.0168952055256981,0.9256962632119852
156.9047619047619,1.0124022101721541,0.8800857256846972
