# P t0 rp_rs a_rs b
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.079427115059186093e+00 4.501129418669849258e+01 8.133717477434616525e-03 1.069226383419512061e+01 1.788754198210708579e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.094068423575849991e+00 4.500304098751194459e+01 1.273669667679932019e-02 1.241392719983318926e+01 1.593981117133043968e-01
9.077813403994097641e+00 4.500206753715900732e+01 1.129800802739061236e-02 1.216586560404176254e+01 1.366027239357532619e-01
9.077813403994097641e+00 4.500206753715900732e+01 1.129800802739061236e-02 1.216586560404176254e+01 1.366027239357532619e-01
9.077813403994097641e+00 4.500206753715900732e+01 1.129800802739061236e-02 1.216586560404176254e+01 1.366027239357532619e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.071663192620643912e+00 4.499792244074028957e+01 1.394567528766532324e-02 1.257916882995318275e+01 1.318742756389429394e-01
9.094784818933664639e+00 4.499022310155338289e+01 1.316088902530030899e-02 1.182600636899937641e+01 1.821071689170312424e-01
9.094784818933664639e+00 4.499022310155338289e+01 1.316088902530030899e-02 1.182600636899937641e+01 1.821071689170312424e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
9.070717256269757556e+00 4.499635658956036366e+01 1.346074799213999723e-02 1.152770791947867757e+01 3.396215619955932352e-01
